x-coordinate,y-coordinate,z-coordinate
15.56581659,-0.3695205532,-2.527337888
15.08,-0.6169125762,-2.52575115
14.78853408,0.642481163,-2.519368563
14.18254741,-0.6833479044,-2.508592363
12.08603485,-0.7172771902,-2.499102525
13.68579931,-0.7177484699,-2.498967213
0.3535698347,-0.7556959732,-2.48775473
11.19298665,-0.7627835671,-2.48559072
0.8230717141,-0.7708853257,-2.483089973
13.04370948,-0.7820380834,-2.479600056
1.322235549,-0.823757363,-2.466054299
1.949808845,-0.854604922,-2.455534652
2.622903371,-0.8594759776,-2.453833948
3.972643218,-0.8645281945,-2.452058523
-0.6749273007,0.5481661616,-2.45030345
10.22494246,-0.8813883888,-2.446048754
3.347992999,-0.9052072739,-2.437334567
7.807538225,-0.9055143726,-2.437220491
14.54246812,-0.9269185197,-2.429160772
8.733176466,-0.9471507766,-2.421343719
-0.9461480813,0.04681745803,-2.421283117
0.0,0.9568,-2.417547054
0.4347798673,0.9568,-2.417547054
0.8605489081,0.9568,-2.417547054
1.295685367,0.9568,-2.417547054
1.76815496,0.9568,-2.417547054
2.295754301,0.9568,-2.417547054
2.932764273,0.9568,-2.417547054
3.696054993,0.9568,-2.417547054
4.551431976,0.9568,-2.417547054
5.456413327,0.9568,-2.417547054
6.338735164,0.9568,-2.417547054
7.199486381,0.9568,-2.417547054
8.049514608,0.9568,-2.417547054
8.914756444,0.9568,-2.417547054
9.798614089,0.9568,-2.417547054
10.68468748,0.9568,-2.417547054
11.48718314,0.9568,-2.417547054
12.19227672,0.9568,-2.417547054
12.79736204,0.9568,-2.417547054
13.30960494,0.9568,-2.417547054
13.77237538,0.9568,-2.417547054
14.19959542,0.9568,-2.417547054
14.62477792,0.9568,-2.417547054
15.08,0.9568,-2.417547054
11.67231438,-0.9611879405,-2.415805817
16.04579255,-0.07191470682,-2.412897228
12.5074826,-1.002034438,-2.399151305
15.94891784,0.5085647583,-2.397153242
-0.4858596579,-0.9061415676,-2.38806362
9.574429673,-1.034924813,-2.385147926
-0.4422452389,0.9568,-2.376752597
15.56360095,0.9568,-2.368683998
13.97427061,-1.096291578,-2.357571797
15.57175679,-0.9808068759,-2.357157851
14.62499523,0.9568,-2.353867604
14.19980745,0.9568,-2.353536905
13.77258167,0.9568,-2.352937262
13.30980532,0.9568,-2.352099984
12.79755596,0.9568,-2.351084439
12.19246289,0.9568,-2.349768289
11.48736026,0.9568,-2.347720551
10.75301761,-1.123136992,-2.344901554
10.68485641,0.9568,-2.344014279
0.4350278571,0.9568,-2.343199338
0.8607257149,0.9568,-2.342924291
1.295817957,0.9568,-2.3415558
1.768265001,0.9568,-2.339390652
9.798774943,0.9568,-2.338607751
2.295847138,0.9568,-2.336555414
0.5717576098,-1.147095617,-2.333274876
2.93284566,0.9568,-2.333073439
8.9149072,0.9568,-2.332790653
13.3946062,-1.151749325,-2.33098123
3.696132275,0.9568,-2.329174188
8.049653678,0.9568,-2.328177733
-1.013806098,-0.56317091,-2.327022931
5.514168266,-1.161507175,-2.326134365
4.551513527,0.9568,-2.32554207
12.0576932,-1.162982202,-2.325397256
7.199612393,0.9568,-2.324958711
5.456506363,0.9568,-2.323087851
6.338845382,0.9568,-2.322807661
4.616337516,-1.178437181,-2.317603463
1.6174044360000003e-14,-1.181163453,-2.31621521
6.38344904,-1.207163152,-2.302771618
16.0719227,-0.7177625318,-2.293666565
15.08,-1.224768635,-2.293456298
11.32426662,-1.243160353,-2.283539432
14.19988442,0.9568,-2.275798266
13.77271957,0.9568,-2.274842484
13.30999414,0.9568,-2.273316481
12.90893314,-1.264401875,-2.271846803
12.79778387,0.9568,-2.27130212
12.19272604,0.9568,-2.268544243
11.48763108,0.9568,-2.264117842
10.23422032,-1.288026879,-2.25853642
10.68514135,0.9568,-2.256038305
1.070574241,-1.293279829,-2.255532594
7.091072006,-1.295033845,-2.254525968
0.860657582,0.9568,-2.250865096
1.295668796,0.9568,-2.248741762
1.76810088,0.9568,-2.244790216
9.799061162,0.9568,-2.244243
-1.20755052,0.5170451662,-2.243766039
-0.9099864724,0.9568,-2.23974516
2.29569215,0.9568,-2.239185818
2.932716412,0.9568,-2.232000831
1.670523662,-1.334011817,-2.231683775
8.915193425,0.9568,-2.231575058
3.69605134,0.9568,-2.22374769
8.049905894,0.9568,-2.221560085
2.358205989,-1.355055122,-2.218969494
4.551502542,0.9568,-2.215959413
7.199814045,0.9568,-2.214623866
3.08721059,-1.366718548,-2.211804786
5.45657816,0.9568,-2.210649256
6.338990087,0.9568,-2.210011455
11.70100712,-1.384208993,-2.200901057
12.44757603,-1.385867286,-2.199857237
16.114685,0.9568,-2.184939521
3.841463394,-1.416932313,-2.179977711
13.77297806,0.9568,-2.179236732
13.31037071,0.9568,-2.177179533
