Node,X[m],Y[m],Z[m],predicted_CR
419,-18.3469486,12.258604,-7.77147102,0.009033872
420,-18.3469486,12.258604,-7.70755959,0.009033872
421,-19.112957,12.2583036,-6.49345541,0.009033891
422,-19.112957,12.2583036,-6.42954397,0.009033911
423,-19.1788197,12.2416391,-6.42954397,0.009033911
424,-19.1788197,12.2416391,-6.49345541,0.009033891
425,-18.9871311,12.6049995,-10.1996241,0.009033872
426,-18.9871311,12.6049995,-10.1357403,0.009033872
427,-18.9232349,12.6049995,-10.1357403,0.009033872
428,-18.9232349,12.6049995,-10.1996241,0.009033872
429,-17.8407364,12.5761013,-9.8162632,0.009033872
430,-17.8407364,12.5761013,-9.75235176,0.009033872
431,-17.773735,12.5761013,-9.75235176,0.009033872
432,-17.773735,12.5761013,-9.8162632,0.009033872
433,-18.6037312,12.6049995,-8.53824806,0.009033872
434,-18.6037312,12.6049995,-8.47433662,0.009033872
435,-18.539835,12.6049995,-8.47433662,0.009033872
436,-18.539835,12.6049995,-8.53824806,0.009033872
437,-18.2162361,12.5761013,-9.17725563,0.009033872
438,-18.2162361,12.5761013,-9.1133709,0.009033872
439,-18.1492348,12.5761013,-9.1133709,0.009033872
440,-18.1492348,12.5761013,-9.17725563,0.009033872
441,-17.5813236,12.6049995,-4.83207893,0.009033078
442,-17.5174274,12.6049995,-4.83207893,0.009033078
443,-17.5174274,12.6049995,-4.89599085,0.009033078
444,-17.5818367,12.5974588,-4.89599085,0.009033078
445,-18.7315483,12.2647648,-7.13246346,0.009033872
446,-18.7315483,12.2647648,-7.0685792,0.009033872
447,-18.7857361,12.271101,-7.0685792,0.009033872
448,-18.7857361,12.271101,-7.13246346,0.009033872
449,-20.1725159,12.2416391,-9.94403172,0.009033872
450,-20.1725159,12.3274698,-9.94403172,0.009033872
